approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,eric-adams-scandals-in-context,"Eric Adams’ Scandals, In Historical Context",2024-09-19,Culture;Governance,Politics,article,high,A historical analysis of mayoral corruption scandals and their political consequences—examining how Adams' troubles fit into NYC's broader political legacy.,"What Does It All Mean?, History, Corruption"
yes,whats-missing-in-the-case-against-eric-adams,What's Missing in the Case Against Eric Adams,2024-09-19,Governance,Politics,article,high,"A legal analysis of the federal indictment against Mayor Adams—a political corruption case focused on campaign finance and bribery allegations, not criminal courts procedure or sentencing.","What Does It All Mean?, Corruption, Government Operations"
yes,the-eric-adams-indictment-a-tragedy-in-two-dimensions,The Eric Adams Indictment: A Tragedy in Two Dimensions,2024-09-19,Governance;Politics;Economy,Politics,article,high,"This is an analytical piece about Mayor Adams' indictment framed through political corruption and electoral context, not criminal prosecution or court proceedings.","Governance, Politics, Corruption, Journalism, What Does It All Mean?"
yes,make-design-relevant-again,Make Design Matter Again,2024-09-11,Housing;Culture,Public Space,article,medium,"A reflective essay on the role of design and planning in shaping urban space and city-building, rooted in post-9/11 reconstruction; Public Space (urban design, plazas, walkability, urban realm) is the best fit, though the piece is more of a governance/policy advocacy meditation than a hard news article.","City Planning, History"
yes,gun-violence-prevention-and-the-harm-of-omission,Gun Violence Prevention and the Harm of Omission,2024-09-11,Guns;Criminal courts,Guns;Public Safety Strategy,article,high,"Critiques a public health advisory for omitting evidence on criminal justice interventions for gun violence reduction; primarily about gun violence prevention strategy, secondarily about evidence-based policing/CVI approaches.","Gun Violence, Justice"
yes,crime-rhetoric-vs-crime-realities,Crime Rhetoric vs. Crime Realities,2024-08-22,Governance;Criminal courts,Crime Data;Politics,article,high,"Piece analyzes crime statistics and the disconnect between official rhetoric and data, while also critiquing the mayor's political framing of public safety.","Crime, Quality of Life., Justice"
yes,city-beautiful-city-ugly,"City Beautiful, City Ugly",2024-08-22,Housing;Culture,Public Space,article,medium,"Essay on urban design philosophy, aesthetics, and the built environment's role in shaping civic life and public behavior — fundamentally about the urban realm and public space, not housing policy or culture as discrete subjects.","Place, City Planning, History"
yes,new-york-times-to-new-york-drop-dead,New York Times to New York: Drop Dead,2024-08-14,Culture;Politics;Economy,Politics,article,high,"This is an opinion/analysis piece about the New York Times' decision to stop endorsing in local elections, a matter of electoral politics and civic governance.","culture, Politics, Journalism"
yes,jane-jacobs-would-support-city-of-yes,Jane Jacobs Would Support ‘City of Yes’,2024-08-08,Culture;Housing,Housing;Public Space,article,medium,"Primarily about NYC's City of Yes rezoning initiative and urban planning philosophy, anchored in housing policy but with significant Public Space / urban design implications drawn from Jane Jacobs' work.","History, City Planning"
yes,10-years-after-the-killing-of-eric-garner,"A Decade After Garner's Death, an Explosion of Knowledge — But Limited Progress",2024-07-26,Criminal courts;Policing,Policing;Research,article,high,"A data-driven analysis of how knowledge about police use of force has expanded over a decade, combining research methodology with policing reform assessment.","Crime, Justice, Police-Community Relations"
yes,how-architecture-can-create-community-or-isolation,How Architecture Can Create Community — or Isolation,2024-07-10,Housing;Data,Public Space;Housing,article,high,"The piece examines how architectural design of residential developments creates or inhibits community connection through shared spaces (plazas, courtyards, stoops)—a core Public Space concern—within the context of housing development patterns.","City Planning, Social Science"
yes,gothams-boundless-ingenuity,Gotham’s Boundless Ingenuity,2024-06-26,Housing;Data,Economy,article,high,"A retrospective on NYC's economic resilience and human capital as driver of urban renewal, comparing post-1975 trajectories across cities.","What Makes a Great City Work?, City Planning, Sociology"
yes,whither-the-black-exodus,Whither the Black Exodus?,2024-06-26,Culture;Race,Politics;Race,article,high,"The piece examines Black political power, redistricting history, and electoral representation tied to demographic change—core Politics and Race concerns, not Culture.","What Are We Afraid Of?, History, Race"
yes,postcards-from-the-past,Postcards from the Past,2024-06-26,Culture;Other,Culture,article,high,"A book and exhibition review focused on nostalgia, photography, art, and cultural artifacts with no civic-policy angle.","culture, Etc., History, Museums"
yes,build-more-homes-for-families,Build More Homes for Families,2024-06-26,Culture;Housing,Housing,article,high,Opinion piece analyzing NYC's family housing affordability crisis and the need for larger apartments; squarely a Housing piece with no secondary domain warranted.,"Where Do We Go From Here?, History, Housing"
yes,why-ill-probably-never-leave-new-york-city,Why I’ll (Probably) Never Leave New York City,2024-06-26,Culture;Other;Housing,Other,article,medium,"A personal essay about why the author loves NYC, blending memoir, immigration narrative, and reflections on the city's character—doesn't fit cleanly into Ted's public-safety or civic-policy domains.","culture, Etc., History, City Planning"
yes,when-citizens-rescue-neighborhoods,When Citizens Rescue Neighborhoods,2024-06-26,Crime;Culture,Public Space;Governance,article,medium,"This is fundamentally about community organizing, urban revitalization, and citizen agency in reversing neighborhood decline—best captured by Public Space (urban realm/commons) and Governance (how communities mobilize power and civic institutions respond), not Crime per se.","What Makes a Great City Work?, Crime, Neighborhood Life"
yes,the-cultural-upside-of-a-downturn,The Cultural Upside of a Downturn,2024-06-26,Culture,Economy;Culture,article,medium,"Piece examines how economic downturns (office vacancy, property tax decline, the 'doom loop') paradoxically spur cultural renaissance; centers on economic mechanism but argues culture is the upside.","culture, What Makes a Great City Work?, History"
yes,how-to-make-the-five-boroughs-better-for-parents-and-children,How to Make the Five Boroughs Better for Parents and Children,2024-06-26,Housing;Governance,Housing;Youth,article,medium,"Piece addresses family retention in NYC through housing affordability, childcare, schools, and transit—primarily a Housing/quality-of-life issue with Youth implications, not Governance per se.","Where Do We Go From Here?, Housing, Quality of Life"
yes,our-transit-tomorrow,Our Transit Tomorrow,2024-06-26,Guns;Culture,Transit,article,high,Piece examines how NYC's mass transit system must adapt to post-pandemic work patterns; no criminal justice or gun violence content despite Ghost's erroneous tags.,"Where Do We Go From Here?, Gun Violence, History"
yes,self-esteem-and-the-modern-city,Self-Esteem and the Modern City,2024-06-26,Governance,Other,article,medium,"A personal essay about NYC's intangible cultural appeal and the author's life trajectory; doesn't fit public safety, housing, transit, or other Ted's core policy domains.","What Makes a Great City Work?, City Government, Quality of Life"
yes,the-secret-ingredient-safe-pedestrian-friendly-streets,"The Secret Ingredient: Safe, Pedestrian-Friendly Streets",2024-06-26,Housing;Governance,Public Space,article,high,"The piece centers on street design, pedestrian safety, public realm programming, and community use of urban space—core Public Space concerns; Housing and Governance are Ghost's over-applications here.","Where Do We Go From Here?, City Planning, Quality of Life"
yes,governance-in-the-time-of-congestion,Governance in the Time of Congestion,2024-06-24,Governance;Transit,Traffic enforcement;Governance,article,high,Core subject is congestion pricing policy and the governance failure when the governor overrode the MTA's independent authority; traffic enforcement is the specific policy lever being examined.,"City Government, Infrastructure"
yes,the-titanium-law-of-evaluation,The Titanium Law of Evaluation,2024-06-19,Culture;Criminal courts,Research,article,high,"A methodological piece about research evaluation standards and rigor in criminology, not about criminal courts themselves.","History, Justice"
yes,was-kathy-hochuls-congestion-pricing-calculation-good-or-bad-politics,Was Kathy Hochul’s Congestion Move Good or Bad Politics?,2024-06-13,Politics;Governance,Politics,article,high,"Piece analyzes electoral strategy and swing-district politics around congestion pricing; transportation policy is the vehicle, but the substance is political calculation and House races.","Politics, Government Operations"
yes,how-london-and-stockholm-made-congestion-pricing-politics-work,Congestion Pricing Lessons from London and Stockholm,2024-06-13,Housing;Governance,Traffic enforcement;Transit,article,high,"Congestion pricing is fundamentally a traffic enforcement / demand-management tool, but the article centers on its transit funding and system-wide benefits, making Transit a co-equal domain.","City Planning, Government Operations"
yes,understanding-new-yorks-congestion-pricing-mess,Understanding New York’s Congestion Pricing Mess,2024-06-12,Governance,Traffic enforcement;Governance,article,high,"Congestion pricing is a traffic enforcement / tolling policy, but the piece's core focus is on the political and legal process—how Hochul's pause challenges the separation of powers between legislature and executive—making it a governance story.",City Government
yes,peoples-perception-of-safety-on-subways,"It’s the Subways, Stupid",2024-05-30,Crime;Transit,Subway;Mental illness,article,high,"The piece centers on subway safety, disorder, and mental health crises as the defining public-safety issue for city governance—not crime statistics broadly.","Crime, Transit"
yes,does-nothing-stop-a-bullet-like-a-job,Does Nothing Stop a Bullet Like a Job?,2024-05-16,Policing;Guns;Culture,Guns;Crime Data,article,high,Empirical piece examining the relationship between economic conditions and gun violence using crime research; debunks the anti-poverty-as-gun-violence-solution narrative.,"Safety, Gun Violence, History"
yes,columbia-1968-commencement-address,What is a University For?,2024-05-15,Youth;Culture,Other,speech,medium,A historical commencement address republished as reflection on institutional purpose; doesn't fit NYC civic-policy domains despite education context.,"Education, History"
yes,congestion-pricing-an-explainer,Congestion Pricing: An Explainer,2024-05-01,Governance,Traffic enforcement;Transit,article,high,Congestion pricing is fundamentally a traffic enforcement and transit funding mechanism; this explainer covers the policy mechanics and its impact on both domains.,"What's The Plan?, Government Operations"
yes,the-long-and-winding-road,The Long and Winding Road,2024-05-01,Culture;Housing,Traffic enforcement;Governance,article,high,"Historical and political analysis of congestion pricing in NYC, spanning traffic policy implementation and the political/governance challenges of getting it done.","What's The Plan?, History, City Planning"
yes,invest-in-transit-the-right-way,Invest in Transit the Right Way,2024-05-01,Transit;Governance,Subway;Buses,article,high,"Policy piece on how congestion pricing revenue should be allocated to improve subway and bus service; core subject is transit infrastructure spending, not governance broadly.","What Opportunities Await?, Transit, Budget"
yes,smarter-parking-policy-please,"Smarter Parking Policy, Please",2024-05-01,Housing;Governance,Traffic enforcement;Public Space,article,high,"Piece focuses on parking policy, curb management, and street-space allocation in context of congestion pricing—core traffic enforcement and public space design issues.","What Opportunities Await?, City Planning, Government Operations"
yes,new-yorks-new-housing-deal-a-significant-win-for-tenants,New York’s New Housing Deal: A Significant Win for Tenants,2024-04-30,Governance;Housing,Housing,article,high,"Straightforward analysis of state housing policy and its effects on NYC rents and tenants; no governance meta-commentary, just housing substance.","Quality of Life, Housing"
yes,when-zoning-goes-too-far,When Zoning Goes Too Far,2024-04-29,Housing;Culture,Housing,article,high,"This is fundamentally about zoning policy and housing density restrictions, not culture; the historic/cultural examples are illustrative of the policy argument.","City Planning, History"
yes,understanding-the-new-york-news-subsidy,"Extra, Extra: Understanding the New York News Subsidy",2024-04-25,Governance,Other,article,medium,A policy analysis of state subsidy mechanics for news industry survival—neither a core public safety/civic topic nor a domain-specific issue; belongs in catch-all.,"City Government, State Government"
yes,new-york-needs-remedial-education-in-civic-tech,New York Needs Remedial Education in Civic Tech,2024-04-10,Culture;Youth;Economy,Governance,article,high,"Piece critiques municipal tech strategy and implementation capacity under Mayor Adams; core governance issue about how city agencies deliver services, not education policy itself.","culture, Education, Economics"
yes,data-in-garbage-out,"Data In, Garbage Out",2024-03-27,Data;Economy,Research,article,high,"This is a methodological critique of randomized controlled trials and program evaluation in criminal justice and social policy—fundamentally about research design and evidence quality, not about crime data itself or any specific policy domain.","Beyond False Simplicity, data, Economics"
yes,the-public-square-issue-7,The Public Square,2024-03-27,Rikers & jails;Governance,Rikers & jails;Public Safety Strategy,article,high,"A state-of-the-debate piece on the Rikers closure deadline, jail capacity, and competing public safety approaches among city officials.","Jails, City Government, Setting the Stage"
yes,the-abcs-of-policy-research,The ABCs of Policy Research,2024-03-27,Governance;Data,Research,article,high,"This is a methodological piece about social science research design and evidence generation, not a policy analysis of a specific NYC public safety domain.","Government Operations, Social Science, Beyond False Simplicity"
yes,the-hubris-of-social-scientists,The Hubris of Social Scientists,2024-03-27,Data,Research,article,high,"This is a methodological critique of RCT design and social science epistemology, not a crime-policy piece itself—fits Research rather than Crime Data.","Beyond False Simplicity, Social Science"
yes,why-does-reform-fail,Why Does Reform Fail?,2024-03-27,Crime,Public Safety Strategy,article,high,"A policymaker's reflective essay on why criminal justice reforms succeed or fail, focused on strategy, implementation, and systemic effectiveness rather than a specific crime domain.","Crime, Beyond False Simplicity"
yes,democracy-of-evidence,Democracy of Evidence,2024-03-27,Economy;Data,Research;Data,article,medium,Methodological piece about econometrics and evidence-based policymaking; 'Data' alone is too vague—'Research' better captures the epistemological focus on how we generate and validate causal claims.,"Economics, Social Science, Beyond False Simplicity"
yes,causal-research-more-not-less,"Causal Research: More, Not Less",2024-03-27,Criminal courts,Research,article,high,"This is a methodological essay about the importance of causal research and evidence-based policymaking, not a piece about a specific criminal justice policy or court case.","Justice, The Joy of Incrementalism"
yes,confronting-radical-uncertainty,Confronting Radical Uncertainty,2024-03-27,Data;Criminal courts,Research,article,high,"Methodological critique of social science research and causal inference—not a crime-statistics piece or criminal courts case law, but examination of how we measure and evaluate policy.","Beyond False Simplicity, Social Science, Justice"
yes,the-precautionary-principle,The Precautionary Principle,2024-03-27,Data,Research,article,high,"This is a methodological defense of RCT-based social science research in criminal justice policy; it's about research design and evidence evaluation, not a crime-statistics piece.","The Joy of Incrementalism, Social Science"
yes,how-the-sausage-gets-made-a-primer,How the Sausage Gets Made: A Primer,2024-03-27,Data;Economy,Research,article,high,"This is a methodological primer on social science research approaches and quantitative methods, not a crime-statistics or policy-data piece.","Setting the Stage, Social Science, Technology"
yes,jimmy-breslin-and-the-lost-rhythm-of-new-york,Jimmy Breslin and the Lost Rhythm of New York,2024-03-27,Culture;Other;Economy,Other,article,high,"A retrospective essay on Jimmy Breslin's journalism legacy and the lost craft of newspaper columnistry—not a piece about a specific NYC policy domain, but rather media/cultural history.","culture, Etc., Journalism, History"
yes,when-cant-miss-programs-fail,When ‘Can’t Miss’ Programs Fail,2024-03-27,Data;Governance,Research,article,high,"A methodological critique of evidence-based evaluation practices in social programs, centered on research design and interpretation challenges rather than a specific policy domain.","The Way Forward, Social Science, Government Operations"
yes,its-hard-to-change-people,It’s Hard to Change People,2024-03-27,Data;Criminal courts,Research;Public Safety Strategy,article,high,"Methodological critique of RCTs in crime policy using economic theory to explain why interventions fail—a research/strategy piece, not criminal courts case law.","The Way Forward, Social Science, Justice"
yes,raising-the-bar-and-ending-an-era-of-low-expectations,Raising the Bar: Ending an Era of Low Expectations,2024-03-27,Governance;Politics,Governance,article,medium,A philanthropist's reflection on government decision-making and evidence quality; touches on research methodology and policy design rather than a specific NYC civic issue.,"The Way Forward, Government Operations, Philanthropy"
yes,what-really-drives-policy,What Really Drives Policy?,2024-03-27,Culture;Crime,Public Safety Strategy;Research,article,high,"A methodological essay on evidence-based policymaking in public safety, using crime/policing examples and the author's experience in NYC criminal justice governance to examine why research doesn't drive policy decisions.","The Way Forward, Neighborhood Life, Crime"
yes,the-limits-of-death-star-thinking,The Limits of Death Star Thinking,2024-03-27,Culture,Governance,article,high,"A critique of mechanistic policymaking and government capacity, using civil service and regulatory examples to argue for adaptive systems thinking—core governance analysis.","culture, The Way Forward"
yes,what-is-gold-standard-evidence-anyway,"What Is ‘Gold Standard’ Evidence, Anyway?",2024-03-27,Crime,Research,article,high,"This is a methodology piece about research design and evidence standards in criminal justice evaluation, not about a specific crime policy or criminal justice outcome itself.","Setting the Stage, Crime"
yes,the-world-is-hard-to-change,The World is Hard to Change,2024-03-27,Data,Research,article,high,"A methodological essay about the limits and lessons of social science research and evidence-based policymaking, not focused on a specific NYC policy domain.","Social Science, Setting the Stage"
yes,the-case-for-optimism,The Case for Optimism,2024-03-27,Criminal courts,Research;Public Safety Strategy,article,high,"Methodological essay on the value of randomized controlled trials and causal research in criminal justice policy, not case-specific or court-focused.","The Way Forward, Crime, Justice"
yes,new-york-city-crime-beyond-the-numbers,New York City Crime Beyond the Numbers,2024-03-22,Crime;Data,Crime Data,article,high,A personal essay examining the gap between crime statistics and residents' lived experience of safety; primarily a data-driven analysis of crime trends and perception.,"Crime, Statistics"
yes,what-la-guardia-gave-new-york,What La Guardia Gave New York,2024-03-18,Culture;Governance,Politics,book_review,high,"This is a review of Terry Golway's La Guardia biography that uses historical comparison to examine mayoral leadership and governance philosophy; primarily about politics and political history, not Culture.","culture, History, City Government"
yes,how-the-jail-population-can-be-reduced-safely,What Increases or Decreases the Number of People in Jail,2024-03-12,Data;Rikers & jails,Rikers & jails;Crime Data,data_product,high,"A data-driven analysis of jail population drivers with policy decision points—belongs in Rikers & jails as primary domain, Crime Data secondary, and is a data product not a standard article.","data, Some Policy Solutions, Jails, Incarceration"
yes,could-our-jails-be-a-civic-asset,Could Our Jails Be a Civic Asset?,2024-03-12,Rikers & jails;Criminal courts,Rikers & jails,editors_note,high,"This is an editor's note introducing a special series on jail reform and conditions, not a standard article; the subject is Rikers & jails specifically, not criminal courts.","About This Project, Jails, Justice"
yes,how-long-people-stay-is-the-problem,How Long People Stay is the Problem,2024-03-12,Rikers & jails;Criminal courts;Governance,Rikers & jails;Criminal courts,article,high,"The piece analyzes length of stay in NYC jails as a policy problem, addressing both jail operations (Rikers & jails) and case processing/disposition timelines (Criminal courts), with pragmatic reform recommendations.","Some Policy Solutions, Crime, Jails, Justice, Government Operations"
yes,a-brief-history-of-the-3300-target,"Pick a Number: The Facts and Politics Behind New York City Limiting the Jail Population to 3,300 People",2024-03-12,Governance;Criminal courts,Rikers & jails;Public Safety Strategy,article,high,"This is a substantive piece about jail-population reduction strategy and inter-agency coordination to balance safety with incarceration, written by a former criminal-justice coordinator—core Public Safety Strategy and Rikers & jails content.","Defining the Challenge, Government Operations, Justice"
yes,whats-the-plan,What's the Plan?,2024-03-12,Data;Rikers & jails;Governance,Rikers & jails,article,high,Focused on the status and timeline of the Rikers Island closure plan and borough jail construction; Governance and Data are secondary to the core subject.,"data, Defining the Challenge, Jails, Budget"
yes,the-perils-and-necessity-of-jail-population-forecasting,"It’s Tough to Make Predictions, Especially About the Future",2024-03-12,Criminal courts,Rikers & jails;Crime Data,article,high,"A methodological deep-dive into forecasting jail populations as NYC closes Rikers, grounded in demographic and criminal justice data analysis.","Defining the Challenge, Crime, Justice"
yes,strengthening-supervised-release,Strengthening Supervised Release,2024-03-12,Data;Criminal courts,Criminal courts;Rikers & jails,article,high,Piece analyzes pretrial release rates and supervised release programming as policy levers for reducing jail population and closing Rikers — core criminal courts and jail system concerns.,"Some Policy Solutions, Social Science, Criminal Justice"
yes,new-york-needs-more-than-3300-jail-beds,"New York Needs More Than 3,300 Jail Beds",2024-03-12,Rikers & jails;Governance,Rikers & jails,article,high,"This is a direct analysis of jail capacity planning for NYC's Rikers closure and borough jails project — squarely within the Rikers & jails domain; Governance tag should be dropped as the piece's real subject is jail operations and detention capacity, not governance.","Projecting the Size of the Jail Population — More than Math, Jails, Government Operations"
yes,what-jail-population-projections-tell-you-about-a-governments-aspirations,What Jail Population Projections Tell You About a Government’s Aspirations,2024-03-12,Rikers & jails;Governance,Rikers & jails,article,high,This is a policy analysis about jail capacity planning and population projections — squarely within the Rikers & jails domain; Governance is too generic and dilutes the specific criminal justice infrastructure focus.,"Projecting the Size of the Jail Population — More than Math, Government Operations, Incarceration"
yes,five-myths-about-mayoral-control,Five Myths About Mayoral Control,2024-03-06,Governance;Youth,Governance,article,high,"This is a substantive policy analysis of NYC school governance structures and mayoral authority—a core governance piece, not primarily about youth outcomes or education pedagogy.","City Government, Education"
yes,maricopas-slap-at-alvin-bragg-plays-politics-with-peoples-lives,Maricopa’s Slap at Alvin Bragg Plays Politics With People’s Lives,2024-02-28,Criminal courts;Governance;Politics,Criminal courts;Politics,article,high,"A prosecution and extradition dispute between jurisdictions, framed as a critique of a prosecutor's political decision that undermines criminal justice norms.","Justice, Prosecution, Government Operations, Politics"
yes,all-crime-is-local-and-solutions-must-be-too,"All Crime is Local — Solutions Must Be, Too",2024-02-28,Crime;Health & human services,Crime Data;Public Safety Strategy,article,high,Analysis of crime trends and data (national vs. local disconnect) paired with argument for neighborhood-level policy solutions.,"What’s Driving Trends and What to Do About It, Crime, Public Health"
yes,what-crime-stats-fail-to-show,What Crime Stats Fail to Show,2024-02-28,Crime;Governance,Crime Data,article,high,"A methodological analysis of NYC crime statistics post-pandemic, examining data interpretation and what the numbers do and don't reveal about violent crime trends.","Public Perception and Statistical Realities, Crime, Government Operations"
yes,crime-perceptions-and-reality-in-new-york,The Feeling That Won't Go Away,2024-02-28,Crime;Public Space,Crime Data,article,high,Core piece examining the disconnect between crime statistics and public perception using polling data and official crime numbers.,"Public Perception and Statistical Realities, Crime, Parks"
yes,forecasting-new-york-city-crime-in-2024,Forecasting New York City Crime in 2024,2024-02-28,Crime;Economy,Crime Data,article,high,"A quantitative forecast of NYC crime using statistical modeling (ARIMA) — clearly a Crime Data piece about methodology and prediction, not a broader crime narrative.","What the Future Holds, Crime, Technology"
yes,two-big-thoughts-about-the-steep-crime-drop,Two Big Thoughts About the Steep Crime Drop,2024-02-28,Crime;Culture,Crime Data,article,high,Analysis of national homicide trends and statistical patterns; sociological research on crime causation and retaliation networks.,"What’s Driving Trends and What to Do About It, Crime, History"
yes,homicide-life-in-the-stats,Homicide: Life in the Stats,2024-02-28,Crime;Culture,Crime Data,article,high,"This is a statistical analysis piece about murder trends across U.S. jurisdictions, emphasizing local variation over national aggregate patterns—classic Crime Data content.","Public Perception and Statistical Realities, History, Crime"
yes,a-safer-city-and-nation-with-asterisks,"A Safer City and Nation, With Asterisks",2024-02-28,Criminal courts,Crime Data,editors_note,high,"This is an editorial framing piece introducing a collection of essays on crime trends and data analysis, not a standalone article reporting on a specific crime or justice issue.","Setting the Stage, Crime, Justice"
yes,taking-control-of-new-yorks-budgetary-future,Taking Control of New York’s Budgetary Future,2024-01-26,Governance;Economy,Governance,article,high,A fiscal policy and budget management piece about City Hall and Albany's financial planning and structural spending constraints — core governance.,"Budget, Economics"
yes,why-family-court-cant-be-saved,Why Family Court Can’t Be Saved,2024-01-25,Criminal courts;Culture,Governance,article,medium,"A systemic critique of family court's institutional design and reform/abolition argument; touches justice but is fundamentally about governance structures, not criminal courts or case processing.","Justice, History"
yes,is-family-court-worth-saving,Is Family Court Worth Saving?,2024-01-04,Criminal courts;Data,Criminal courts,article,medium,"A former family court judge argues for reform rather than abolition of family courts; touches on justice system design and child welfare, but family court is civil/administrative, not criminal—consider whether this fits Ted's curation at all.","Justice, Social Science"
yes,history-of-opioids-in-new-york-city,When Gotham Was Heroin's Capital,2023-12-13,Culture;Drugs,Drugs,article,high,"Historical overview of opioid use in NYC; no current policy, intervention, or enforcement angle—purely retrospective narrative about drug epidemiology.","Looking Back, History, Drugs"
yes,the-explosion-of-online-drug-marketplaces,A Narcotics Everything Store,2023-12-13,Governance;Drugs;Economy,Drugs,article,high,A research-driven analysis of how darknet marketplaces facilitate drug sales; Governance and Economy tags are incidental to the core subject of illicit drug distribution.,"The Policy Record, Drugs, Technology"
yes,how-new-york-can-learn-from-the-tobacco-settlement,Spending the Opioid Billions,2023-12-13,Health & human services;Governance;Drugs,Drugs;Health & human services,article,high,Piece analyzes how opioid settlement funds should be allocated based on public health evidence and tobacco settlement lessons—bridging drug-crisis response and health policy.,"Toward Solutions, Public Health, Government Operations, Drugs, City Government, Budget"
yes,learning-from-decriminalization-portland-and-portugal,"Portland, Portugal and the Lessons of Decriminalization",2023-12-13,Governance;Drugs,Drugs;Public Safety Strategy,article,high,A policy analysis of drug decriminalization outcomes that evaluates both the strategy itself and implementation challenges in changing enforcement approaches.,"The Policy Record, Drugs, Government Operations"
yes,the-public-square-issue-6,The Public Square,2023-12-13,Culture;Drugs;Health & human services,Drugs,article,high,"A state-of-the-field overview of drug policy and overdose deaths in NYC; firmly anchored in substance use and public health response, not general culture.","culture, Setting the Stage, Drugs, Public Health"
yes,the-marijuana-reset-new-york-needs,The Marijuana Reset New York Needs,2023-12-13,Drugs;Criminal courts,Drugs,article,high,"Policy analysis of marijuana legalization implementation and enforcement — the subject is drugs regulation and public health, not criminal courts (which handle case processing/sentencing).","Toward Solutions, Drugs, Justice"
yes,the-real-reason-the-weed-market-is-broken,The Real Reason the Weed Market is Broken,2023-12-13,Governance;Drugs,Drugs,article,high,"The piece analyzes why New York's legal cannabis market has failed to compete with illegal sales, focusing on regulatory design and implementation—a drugs-policy analysis, not governance.","The Policy Record, Drugs, Government Operations"
yes,putting-the-humility-back-in-harm-reduction,Putting More Humility in Harm Reduction,2023-12-13,Governance;Health & human services;Drugs,Drugs;Health & human services,article,high,"This is a public health policy piece on harm reduction and drug epidemiology—squarely about Drugs and Health & human services, not Governance.","The Policy Record, Public Health, Drugs"
yes,harm-reduction-save-lives,"Reduce Harm, Save Lives",2023-12-13,Governance;Drugs;Health & human services,Drugs;Health & human services,article,high,Personal narrative advocating harm-reduction drug policy grounded in public health evidence and lived experience; clearly spans drugs policy and health outcomes.,"The Policy Record, Drugs, Public Health"
yes,paving-pathways-to-recovery-for-all,Paving Pathways to Recovery for All,2023-12-13,Data;Health & human services,Drugs;Health & human services,article,high,"Essay on substance use disorder treatment and community support, grounded in addiction professional expertise and NYC overdose data.","Toward Solutions, Social Science, Public Health"
yes,the-drug-war-without-cops,The Drug War Without Cops,2023-12-13,Health & human services;Governance,Drugs;Public Safety Strategy,article,high,"Examines non-enforcement drug-control tools (public health, taxation, regulation) as alternative to criminalization, directly addressing drug policy strategy.","Toward Solutions, Public Health, Government Operations"
yes,the-good-substances-do,Highs and Lows and In-Betweens,2023-12-13,Culture;Drugs,Drugs,article,medium,"A personal essay/memoir reflecting on drug use culture in NYC across decades, emphasizing nuance and pleasure alongside harm—primarily a drugs piece, though it has cultural/historical dimensions that Ted would likely deprioritize.","culture, Setting the Stage, Drugs, History"
yes,e-bike-fires-in-new-york-city,"Hot Food, Burning Buildings, Greedy Companies, Weak Government",2023-11-29,Governance,Public Safety Strategy;Housing,article,medium,Piece critiques city's regulatory and enforcement response to e-bike battery fires as a public safety failure; the inequitable impact on lower-income renters makes Housing relevant as secondary domain.,"Budget, Government Operations"
yes,are-nycs-jails-ungovernable-opening-remarks,Setting the Stage,2023-11-21,Rikers & jails;Governance,Rikers & jails,event_transcript,high,Introductory remarks from a forum on NYC jail governance; event_transcript is the appropriate non-article type for opening remarks at a curated discussion.,"Jails, Government Operations"
yes,fixing-new-york-citys-jails-a-federal-receiver-closing-remarks,Fixing New York City's Jails: A Federal Receiver? (Closing Remarks),2023-11-20,Rikers & jails;Governance,Rikers & jails,panel_transcript,high,"Closing remarks from a panel discussion on jail receivership—clearly a panel_transcript, not an article, focused entirely on Rikers jail conditions and governance structures.","Jails, Government Operations"
yes,fixing-new-york-citys-jails-a-federal-receiver-remarks,Fixing New York City's Jails: A Federal Receiver? (Remarks on Receivership),2023-11-20,Rikers & jails;Governance,Rikers & jails,speech,high,This is a speech explaining receivership as a potential remedy for NYC jail dysfunction; the governance aspect is secondary to the jail-system focus.,"Jails, Federal Government"
yes,unraveling-the-threads-of-americas-gun-culture,Unraveling the Threads of America’s Gun Culture,2023-11-15,Guns;Culture,Guns,article,high,"Historical and cultural analysis of gun ownership trends and their relationship to American identity, crime, and violence—core Guns domain; drop Culture per Ted's rule that it's over-applied.","Gun Violence, culture"
yes,a-one-city-solution,A One City Solution,2023-11-08,Culture,Other,article,medium,A personal essay about interfaith coexistence in NYC during the Israel-Palestine conflict; doesn't fit Ted's public-safety/civic-policy domains despite the NYC focus.,"History, Religion"
yes,stuck-on-utopia-parkway,Stuck on Utopia Parkway,2023-10-18,Economy;Data,Other,article,medium,"A critical essay on utopian city-planning fantasies; touches housing/homelessness but is primarily philosophical critique of tech-billionaire ideology, not NYC-focused policy analysis.","Technology, Social Science"
yes,what-police-can-do-differently-to-save-lives,Cops Are Crucial,2023-09-27,Criminal courts;Policing;Guns,Policing;Guns,article,high,Core argument about police's role in gun violence prevention; not a criminal courts piece (no prosecution/sentencing focus).,"Solving Cases: The System, Police Reform, Gun Violence, Police-Community Relations"
yes,police-management-matters-a-lot,Police Management Matters a Lot,2023-09-27,Criminal courts;Culture;Policing,Policing;Public Safety Strategy,article,high,"The piece argues that police management and leadership drive crime reduction and use-of-force outcomes, spanning both policing operations and broader public safety strategy.","Solving Cases: The System, History, Police Reform"
