author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Jacob William Faber,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/faber-jacob-william/,"is associate professor of sociology and public service at New York University, where he teaches and conducts research on racial inequality and segregation.",matched Vital City bio keywords
Jake Segal,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/segal-jake/,"is the managing director, impact advisory and public sector practice, at Social Finance, a national nonprofit and registered investment advisor.",matched Vital City bio keywords
Jane M. Spinak,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/spinak-jane-m/,is Edward Ross Aranow Clinical Professor Emerita of Law at Columbia Law School.,matched Vital City bio keywords
Javonte Alexander,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/alexander-javonte/,is a senior research associate at the Center for Court Innovation.,bio present but no rule hit
"Jay K. Varma, MD",1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/varma-jay-k/,"is chief medical officer and executive vice president of Siga Technologies. A physician and epidemiologist, he led CDC programs in disease control, including New York City’s COVID-19 response.",matched Vital City bio keywords
Jeffrey Liebman,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/liebman-jeffrey/,"is the Robert W. Scrivner Professor of Social Policy at Harvard’s Kennedy School, where he directs the Taubman Center for State and Local Government, the Rappaport Institute for Greater Boston and the Government Performance Lab.",matched Vital City bio keywords
Jennifer Pahlka,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pahlka-jennifer/,is a senior fellow at the Niskanen Center and Federation of American Scientists. She served as deputy chief technology officer and founded the nonprofit Code for America.,matched Vital City bio keywords
Jennifer Tucker,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tucker-jennifer/,is a professor of history at Wesleyan University and the founding director of Wesleyan’s Center for the Study of Guns and Society.,matched Vital City bio keywords
Jere Hester,1,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/hester-jere/,is director of the Local Accountability Reporting Program at the Craig Newmark Graduate School of Journalism at CUNY. His prior gigs include founding editor-in-chief of THE CITY and city editor of the Daily News.,matched Vital City bio keywords
Jeremy Biddle,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/biddle-jeremy/,is director of violence reduction at the University of Pennsylvania Crime and Justice Policy Lab and special adviser on Baltimore’s Group Violence Reduction Strategy.,bio present but no rule hit
Jeremy Travis,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/travis-jeremy/,is president emeritus of John Jay College of Criminal Justice and senior fellow at the CUNY Institute for State & Local Governance.,bio present but no rule hit
Jesse Rifkin,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/rifkin-jesse/,"is a pop music historian at Alan Lomax's Association for Cultural Equity and owner of Walk on the Wild Side Tours NYC, a music history walking tour company.",bio present but no rule hit
Jesse Woo,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/woo-jesse/,is an AI/Tech Policy Counsel at the Policing Project's Tech Team.,matched Vital City bio keywords
Jessica Gillooly,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/gilooly-jessica/,is an assistant professor of sociology and criminal justice at Suffolk University.,matched Vital City bio keywords
Jessica Mofield,1,government/public sector,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/mofield-jessica/,is the executive director of the Mayor’s Office to Prevent Gun Violence in New York City.,matched Vital City bio keywords
Jessy Edwards,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/edwards-jessy/,"is a reporter covering social and criminal justice issues in New York City and has spent the past year covering Rikers Island for WNYC. Previously, she worked for BK Reader and NBC New York.",matched Vital City bio keywords
Jodi Shapiro,1,artist/culture,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/shapiro-jodi/,is a lifelong New Yorker and the curator of the New York Transit Museum. She has worked there since 2014.,matched Vital City bio keywords
John Arnold,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/arnold-john/,is co-founder of Arnold Ventures LLC.,matched Vital City bio keywords
John Della Volpe,1,business/finance,,high,vital_city_bio,https://www.vitalcitynyc.org/author/della-volpe-john/,"is director of polling at Harvard Kennedy School’s Institute of Politics and founder and CEO of Social Sphere, a public opinion research firm. He advised on the Biden 2020 campaign.",matched Vital City bio keywords
John MacIntosh,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/macintosh-john/,"is the managing partner of SeaChange Capital Partners, which provides grants, loans, analysis and advice to help nonprofits navigate complex challenges.",bio present but no rule hit
John Maki,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/maki-john/,is a fellow in the Litmus Program of the NYU Marron Institute. He’s also the director of the Task Force on Long Sentences at the Council on Criminal Justice and the former executive director of the Illinois Criminal Justice Information Authority.,matched Vital City bio keywords
John Mollenkopf,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/mollenkopf-john/,is a distinguished professor of political science and sociology and director of the Center for Urban Research at the Graduate Center of the City University of New York.,matched Vital City bio keywords
Jonathan Ben-Menachem,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/jonathan-ben-menachem/,"is a PhD candidate in Sociology at Columbia University, where he researches the politics of the criminal legal system.",matched Vital City bio keywords
Jonathan Bowles,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/bowles-jonathan/,is executive director of the Center for an Urban Future.,matched Vital City bio keywords
Jonathan Plucker,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/plucker-jonathan/,is a professor at Johns Hopkins University directing the education policy master’s program. He is principal investigator for the National Research Center on Advanced Education.,matched Vital City bio keywords
Jonathan Rauch,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/rauch-jonathan/,"is a senior fellow at the Brookings Institution. His most recent book is ""The Constitution of Knowledge: A Defense of Truth.""",bio present but no rule hit
Jonathan Soffer,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/soffer-jonathan/,"is a professor of history at NYU Tandon School of Engineering and the author of ""Ed Koch and the Rebuilding of New York.""",matched Vital City bio keywords
Jonathan Tarleton,1,journalist/media,academic; planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/tarleton-jonathan/,is a writer and urban planner. He previously served as chief researcher on urban projects and as editor-in-chief of the online magazine Urban Omnibus.,matched Vital City bio keywords
Jordan M. Hyatt,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/hyatt-jordan-m/,"is an associate professor of criminology and justice studies at Drexel University, director of the Center for Public Policy and the Justice Collaborative, and co-principal investigator of the Scandinavian Prison Project.",matched Vital City bio keywords
Jorge Guzman,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/guzman-jorge/,"is Gantcher Associate Professor of Business at Columbia University and Faculty Research Fellow at NBER, studying entrepreneurship.",matched Vital City bio keywords
Joseph A. Zayas,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/zayas-joseph-a/,is chief administrative judge of the New York State Unified Court System.,bio present but no rule hit
Joseph P. Viteritti,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/viteritti-joseph-p/,"is the Thomas Hunter Professor of Public Policy at Hunter College and the author of ""Radical Dreamers: Race, Choice and the Failure of American Education"" (Oxford). He has published previous books on New York mayors John Lindsay and Bill de Blasio.",matched Vital City bio keywords
Joshua Sharfstein,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/sharfstein-joshua/,is vice dean for public health practice and community engagement at Johns Hopkins Bloomberg School of Public Health.,bio present but no rule hit
José Álvarez Retamales,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/retamales-jose-alvarez/,is a Ph.D. student in NYU’s linguistics department.,matched Vital City bio keywords
Justine Olderman,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/olderman-justine/,holds a joint appointment at NYU’s Marron Institute and School of Law developing strategies for pretrial freedom and justice reform. She is former executive director of The Bronx Defenders.,matched Vital City bio keywords
Kaley Pillinger,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pillinger-kaley/,"is a J.D. candidate at Yale Law School. Previously, she worked as an affordable housing developer in New York City.",matched Vital City bio keywords
Katalin Balog,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/balog-katalin/,is a professor of philosophy at Rutgers University – Newark.,matched Vital City bio keywords
Kate Daugherty,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/daugherty-kate/,is a data project associate at the University of Chicago Crime and Education Lab.,bio present but no rule hit
Katheryne Pugliese,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pugliese-katheryne/,is a PhD candidate in Criminal Justice at John Jay College of Criminal Justice.,matched Vital City bio keywords
Kathleen Sullivan,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/sullivan-kathleen/,"is professor of political science at Ohio University. With Patricia Strach, she is co-author of ""The Politics of Trash: How Governments Used Corruption to Clean Cities, 1890-1920.""",matched Vital City bio keywords
Katie Kinsey,1,government/public sector,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/kinsey-katie/,is Chief of Staff and Tech Policy Counsel at the Policing Project.,matched Vital City bio keywords
Keith Ellison,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ellison-keith/,is the attorney general of Minnesota.,matched Vital City bio keywords
Kenneth Corey,1,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/corey-kenneth/,"is the former Chief of the New York City Police Department, where he spent 34 years after joining as a cadet in 1988. He is now an executive advisor of the University of Chicago Policing Leadership Academy.",matched Vital City bio keywords
Kerri M. Raissian,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/raissian-kerri-m/,is an associate professor of public policy at the University of Connecticut and director of the ARMS Center for gun-injury prevention. She is a senior fellow at the Niskanen Center.,matched Vital City bio keywords
Kevin Baker,1,journalist/media,artist/culture,high,vital_city_bio,https://www.vitalcitynyc.org/author/baker-kevin/,"is a historian, novelist and journalist, who lives in New York City. His new book is ""The New York Game: Baseball and the Rise of a New City.""",matched Vital City bio keywords
Kevin Schnepel,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/schnepel-kevin/,is an associate professor of economics at Simon Fraser University.,matched Vital City bio keywords
Khaled Eltokhy,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/khaled/,"is a PhD candidate in economics at the CUNY Graduate Center, where he studies urban infrastructure, public investment, and political coordination failures.",matched Vital City bio keywords
Kim Phillips-Fein,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/phillips-fein-kim/,"is a professor of History at Columbia University and the author of ""Fear City: New York’s Fiscal Crisis and the Rise of Austerity Politics.""",matched Vital City bio keywords
Kirsten Burr,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/burr-kirsten/,"is a PhD student at Columbia Business School in the finance division with a research focus on household finance, asset pricing, and public policy.",matched Vital City bio keywords
Laura Tamman,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tamman-laura/,is a professor of political science at Pace University.,matched Vital City bio keywords
Lauren Stossel,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/stossel-lauren/,is a forensic psychiatrist in New York City. She most recently served as Chief of Mental Health for Correctional Health Services until 2023.,bio present but no rule hit
Lawrence K. Marks,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/marks-lawrence-k/,"is a former judge for the New York Court of Claims. He was the first deputy chief administrative judge of the New York court system from 2012 to 2015, and became the chief administrative judge in 2015. He retired in 2022.",bio present but no rule hit
Layman Lee,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/lee-layman/,"is the project director of Neighborhood Safety Initiative (NSI) at the Center for Court Innovation, a lead implementation partner in the Mayor’s Action Plan for Neighborhood Safety (MAP).",matched Vital City bio keywords
Leah Nelson,1,academic,journalist/media; planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/nelson-leah/,"is a researcher, policy analyst and writer based in Montgomery, Ala., who works with marginalized communities and public officials to document systems and collaboratively develop improvements in politically and socially complex environments.",matched Vital City bio keywords
Leslie Lenkowsky,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/lenkowsky-leslie/,is an expert in nonprofits and public policy who taught at Indiana University. He served as CEO of the Corporation for National and Community Service (AmeriCorps) from 2001 to 2003.,matched Vital City bio keywords
Linda Lee Baird,1,journalist/media,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/lee-baird-linda/,is a freelance writer and nonprofit professional.,matched Vital City bio keywords
Lisa Chamberlain,1,journalist/media,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/chamberlain-lisa/,"is an urbanist, writer, and communications consultant at Strategies for City Builders. She previously reported on commercial real estate for The New York Times and led communications at the Centre for Urban Transformation at the World Economic Forum.",matched Vital City bio keywords
Lisette Nieves,1,academic,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/nieves-lisette/,is president of the Fund for the City of New York and Distinguished Clinical Professor in the Leadership and Innovation Program at NYU Steinhardt.,matched Vital City bio keywords
Maia Szalavitz,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/szalavitz-maia/,"is the author of ""Undoing Drugs: How Harm Reduction is Changing the Future of Drugs and Addiction"" and a contributing opinion writer for the New York Times.",matched Vital City bio keywords
Malcolm Feeley,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/feeley-malcolm/,"is the Claire Sanders Clements Dean’s Professor of Law Emeritus at Berkeley Law and the co-author, with Edward Rubin, of ""Judicial Policy Making and the Modern State: How the Federal Courts Reformed America’s Prisons.""",matched Vital City bio keywords
Marc Dunkelman,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/dunkelman-marc/,"is a visiting fellow in international and public affairs at Brown University’s Taubman Center for Public Policy and American Institutions. He is the author of ""Why Nothing Works: Who Killed Progress — And How to Bring It Back.""",bio present but no rule hit
Marc Perel,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/marc/,,no Vital City bio
Marco Rosaire Rossi,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/rossi-marco-rosaire/,is an adjunct professor in political science at Cascadia Community College and Olympic College. He received his Ph.D. in political science from the University of Illinois-Chicago.,matched Vital City bio keywords
Margery Perlmutter,1,attorney/lawyer,planner/policy; architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/perlmutter-margery/,"is a land use lawyer, architect and founder of Urban Factors consultancy. She is a former chair of the NYC Board of Standards and Appeals.",matched Vital City bio keywords
Mario L. Small,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/small-mario-l/,"is Quetelet Professor of Social Science at Columbia University, studying neighborhoods, social networks and research methods.",matched Vital City bio keywords
Mark Hampton,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/hampton-mark/,"is the author of ""Visions of the Press in Britain, 1850-1950"" and ""Hong Kong and British Culture, 1945-97."" He teaches at Lingnan University, Hong Kong.",bio present but no rule hit
Mark Levine,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/mark-levine/,became the 46th New York City Comptroller in January 2026. He previously served as Manhattan Borough President and a two-term City Council Member.,matched Vital City bio keywords
Mark M. Gray,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/gray-mark-m/,is a research associate professor at Georgetown University and the Director of CARA Catholic Polls at Georgetown’s Center for Applied Research in the Apostolate.,matched Vital City bio keywords
Mark Obbie,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/obbie-mark/,"is a journalist focused on criminal justice - specifically, victims of violent crime, violence prevention, policing and punishment policies. His work has been featured in The Atlantic, The Trace, Slate, The New York Times and Politico Magazine.",matched Vital City bio keywords
Marlon Peterson,1,journalist/media,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/peterson-marlon/,"is the author of ""Bird Uncaged: An Abolitionist’s Freedom Song,"" host of the Decarcerated Podcast and owner of his own social impact endeavor, The Precedential Group Social Enterprises, and its nonprofit arm, Be Precedential, Inc.",matched Vital City bio keywords
Marshall Plane,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/plane-marshall/,is a Research Assistant at The Immigration Lab.,bio present but no rule hit
Martha Stark,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/stark-martha/,is a clinical professor at NYU's Robert F. Wagner Graduate School of Public Service.,matched Vital City bio keywords
Mason B. Williams,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/williams-mason-b/,"is the author of ""City of Ambition: FDR, La Guardia, and the Making of Modern New York."" His next book, ""City of Fortune: Inequality and the Remaking of New York,"" will be published by W.W. Norton next June. He teaches at Williams College.",bio present but no rule hit
Matt Grossmann,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/grossmann-matt/,is director of the Institute for Public Policy and Social Research and a professor at Michigan State University. He is a senior fellow at the Niskanen Center.,matched Vital City bio keywords
Matt Wing,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/wing-matt/,"is the founder of Wingspan, a digital marketing and communications consultancy. He was press secretary to Gov. Andrew Cuomo in his first term.",matched Vital City bio keywords
Matthew Dallek,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/dallek-matthew/,is a professor at George Washington University’s Graduate School of Political Management at work on a book about presidential assassination attempts and 20th-century political violence.,matched Vital City bio keywords
Max J. Markham,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/markham-max-j/,is executive director at the Policing Project at the NYU School of Law.,matched Vital City bio keywords
Max Kapustin,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/kapustin-max/,is assistant professor of economics and public policy at Cornell University.,matched Vital City bio keywords
Meg Egan,1,business/finance,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/egan-meg/,"is CEO of the Women’s Prison Association, supporting women impacted by incarceration. She is former executive director of the NYC Board of Correction.",matched Vital City bio keywords
Megan McArdle,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mcardle-megan/,"is a columnist at The Washington Post who focuses on the intersection of business, economics and public policy.",matched Vital City bio keywords
Meryl Chertoff,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/chertoff-meryl/,is adjunct professor of law at Georgetown University Law Center.,matched Vital City bio keywords
Michael B. Mushlin,1,attorney/lawyer,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/mushlin-michael-b/,"is a professor of law emeritus at the Elisabeth Haub School of Law at Pace University, who was staff attorney from 1973 to 1977 and project director from 1977 to 1980 of the Prisoners’ Rights Project of the Legal Aid Society.",matched Vital City bio keywords
Michael Parsons,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/parsons-michael/,is an urban ecologist in the Department of Biological Sciences at Fordham University.,matched Vital City bio keywords
Michael Santorelli,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/santorelli-michael/,"is the director of the ACLP at New York Law School, a regulatory law and policy program that studies broadband and utility issues.",matched Vital City bio keywords
Michael Woodsworth,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/woodsworth-michael/,"is an associate professor of history at Bard High School Early College, Queens. He is the author of ""Battle for Bed-Stuy: The Long War on Poverty in New York City.""",matched Vital City bio keywords
Michele Bogart,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/bogart-michele/,is professor emeritus of art history and visual culture at Stony Brook University.,matched Vital City bio keywords
Michelle Nolan,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/nolan-michelle/,is a principal epidemiologist at a startup. She worked for the New York City Department of Health and Mental Hygiene from 2013-2022.,matched Vital City bio keywords
Michelle Priest,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/priest-michelle/,is an assistant policy researcher and a Ph.D. candidate at Pardee RAND Graduate School.,matched Vital City bio keywords
Mindy Tarlow,1,government/public sector,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/tarlow-mindy/,"is a senior fellow and research professor at NYU’s Marron Institute. She held senior positions in philanthropy, government and nonprofits, including director of the NYC Mayor’s Office of Operations.",matched Vital City bio keywords
Miriam Popper,1,government/public sector,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/popper-miriam/,is the former executive director of the Office of Pretrial Justice Initiatives in the New York City Mayor’s Office of Criminal Justice.,matched Vital City bio keywords
Mitchell Moss,1,academic,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/moss-mitchell/,is the Henry Hart Rice Professor of Urban Policy and Planning at NYU's Wagner Graduate School of Public Service and former director of the NYU Rudin Center for Transportation.,matched Vital City bio keywords
Molly Wasow Park,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/wasow-park-molly/,is commissioner of the New York City Department of Social Services and a member of the Collaborative on Housing for Health.,matched Vital City bio keywords
Morgan Godvin,1,academic,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/godvin-morgan/,"is a drug policy researcher from Portland, Oregon and the founder of BeatsOverdose, an organization that provides overdose prevention services to the music and entertainment industry.",matched Vital City bio keywords
Moses Gates,1,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/gates-moses/,is the Regional Plan Association's vice president for housing and neighborhood planning.,matched Vital City bio keywords
Ned Resnikoff,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/resnikoff-ned/,is an urban policy consultant and writer. He writes the newsletter Public Comment and is working on a book about cities with an expected publication date of Fall 2026.,matched Vital City bio keywords
Neil Gross,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/gross-neil/,"is a professor of sociology at Colby College and a senior fellow at the Niskanen Center in Washington, DC. His most recent book is ""Walk the Walk: How Three Police Chiefs Defied the Odds and Changed Cop Culture.""",matched Vital City bio keywords
Nestor Davidson,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/nestor/,is the Emma Bloomberg Professor of Real Estate at Harvard University and was chair of the Rent Guidelines Board from 2023 to 2024.,matched Vital City bio keywords
Nevin Cohen,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/cohen-nevin/,is an associate professor at the CUNY Graduate School of Public Health and Health Policy and the director of the CUNY Urban Food Policy Institute.,matched Vital City bio keywords
Nick Suplina,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/suplina-nick/,is senior vice president for law and policy at Everytown for Gun Safety.,bio present but no rule hit
Nick Wilson,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/wilson-nick/,is the senior director for gun violence prevention at the Center for American Progress.,bio present but no rule hit
Nicky von Hartz Shapiro,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/von-hartz-shapiro-nicky/,is a writer based in New York City.,matched Vital City bio keywords
Nicole P. Marwell,1,academic,government/public sector; nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/marwell-nicole-p/,"is a professor at the Crown Family School of Social Work, Policy and Practice at the University of Chicago. She researches contemporary urban governance at the intersection of nonprofit organizations, government and communities.",matched Vital City bio keywords
Nina Vinik,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/vinik-nina/,is the founder of Project Unloaded and a two-decade veteran of the gun violence prevention movement. She lives in Chicago.,matched Vital City bio keywords
Nolan Hicks,1,journalist/media,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/hicks-nolan/,is a New York City politics and transit reporter and a transportation and land use fellow at the NYU Marron Institute of Urban Management.,matched Vital City bio keywords
Olivia Li,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/li-olivia/,is senior counsel at Everytown.,matched Vital City bio keywords
Paragini Amin,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/amin-paragini/,"is the creative director at Design for Progress, a firm that helped create Vital City's brand identity. She has been a brand strategy and design consultant for nonprofits for 20 years.",bio present but no rule hit
Patricia Strach,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/strach-patricia/,"is a professor of political science at the University at Albany, SUNY. She is co-author of works on the politics of urban governance and corruption history.",matched Vital City bio keywords
Patsy Yang,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/yang-patsy/,is senior vice president for NYC Health + Hospitals Correctional Health Services.,bio present but no rule hit
Paul Salama,1,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/salama-paul/,"is founder of Civic Transformation Advisors. He previously co-authored “How NYC Moves” with the Mayor’s Office, exploring how to use technology to accelerate city transportation reviews.",matched Vital City bio keywords
Paul Williams,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/williams-paul/,is the executive director of the Center for Public Enterprise.,matched Vital City bio keywords
Pedro A. Noguera,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/noguera-pedro-a/,is dean of the Rossier School of Education at USC. He was born in Brooklyn.,bio present but no rule hit
Pedro Noguera,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/noguera-pedro/,is the Emery Stoops and Joyce King Stoops Dean of the Rossier School of Education and a distinguished professor of education at the University of Southern California.,matched Vital City bio keywords
Pete Sikora,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/sikora-pete/,is the climate and inequality campaigns director for New York Communities for Change.,bio present but no rule hit
Peter Jones,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/jones-peter/,"is an associate professor in the Department of Political Science and Public Administration at the University of Alabama at Birmingham, whose research focuses on the public budgeting process and financial management of state and local governments.",matched Vital City bio keywords
Peter Reuter,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/reuter-peter/,is a distinguished professor at the University of Maryland School of Public Policy and Department of Criminology. He has researched drug markets for the last 40 years. His work was supported by the National Science Foundation.,matched Vital City bio keywords
Philip Mark Plotch,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/plotch-philip-mark/,"is the principal researcher at the Eno Center for Transportation and a fellow at the NYU Marron Institute of Urban Management. He is the author of three books: ""Politics Across the Hudson,"" ""Last Subway"" and ""Mobilizing the Metropolis.""",matched Vital City bio keywords
Preeti Chauhan,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/chauhan-preeti/,is a distinguished faculty fellow for research and professor of psychology at John Jay College of Criminal Justice.,matched Vital City bio keywords
Priya Varadachary,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/priya-varadachary/,is a strategist based in Brooklyn with a background in architecture and economics. She has been renovating a pre-war Brooklyn building for the past decade and grew up the daughter of a civil servant.,matched Vital City bio keywords
R.A.E. Wells,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/wells-r-a-e/,"is Vital City’s former editorial associate. In 2024, she completed her MA in Media, Culture and Communication at NYU.",bio present but no rule hit
Rachel Meltzer,1,academic,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/meltzer-rachel/,is the Plimpton Associate Professor of Planning and Urban Economics at Harvard’s Graduate School of Design.,matched Vital City bio keywords
Rafael Mangual,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mangual-rafael/,"is the Nick Ohnell fellow at the Manhattan Institute for Policy Research, a contributing editor of City Journal and the author of ""Criminal (In)Justice: What the Push for Decarceration and Depolicing Gets Wrong and Who It Hurts Most.""",matched Vital City bio keywords
